BIOENTITY	SEMANTIC_TAG	STUDY	ANNOTATOR	ANNOTATION_DATE
41200#H523#H52.3 Injection of sclerosing substance into haemorrhoid	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H524#H52.4 Rubber band ligation of haemorrhoid	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H528#H52.8 Other specified destruction of haemorrhoid	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H53#H53 Other operations on haemorrhoid	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H531#H53.1 Evacuation of perianal haematoma	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H538#H53.8 Other specified other operations on haemorrhoid	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H54#H54 Dilation of anal sphincter	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H541#H54.1 Anorectal stretch	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H55#H55 Other operations on perianal region	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H551#H55.1 Laying open of low anal fistula	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H553#H55.3 Laying open of anal fistula NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H554#H55.4 Insertion of seton into high anal fistula and partial laying open of track HFQ	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H558#H55.8 Other specified other operations on perianal region	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H56#H56 Other operations on anus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H561#H56.1 Biopsy of lesion of anus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H562#H56.2 Lateral sphincterotomy of anus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H564#H56.4 Excision of anal fissure	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H568#H56.8 Other specified other operations on anus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H569#H56.9 Unspecified other operations on anus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H58#H58 Drainage through perineal region	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H581#H58.1 Drainage of ischiorectal abscess	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H582#H58.2 Drainage of perianal abscess	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H59#H59 Excision of pilonidal sinus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H594#H59.4 Excision of pilonidal sinus and suture HFQ	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H599#H59.9 Unspecified excision of pilonidal sinus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H60#H60 Other operations on pilonidal sinus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H603#H60.3 Drainage of pilonidal sinus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H62#H62 Other operations on bowel	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#H69#H69 Diagnostic endoscopic examination of enteric pouch using fibreoptic sigmoidoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J01#J01 Transplantation of liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J011#J01.1 Orthotopic transplantation of liver NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J02#J02 Partial excision of liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J021#J02.1 Right hemihepatectomy NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J022#J02.2 Left hemihepatectomy NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J023#J02.3 Resection of segment of liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J03#J03 Extirpation of lesion of liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J08#J08 Therapeutic endoscopic operations on liver using laparoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J088#J08.8 Other specified therapeutic endoscopic operations on liver using laparoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J09#J09 Diagnostic endoscopic examination of liver using laparoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J091#J09.1 Diagnostic endoscopic examination of liver and biopsy of lesion of liver using laparoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J10#J10 Transluminal operations on blood vessel of liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J101#J10.1 Percutaneous transluminal embolisation of hepatic artery	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J12#J12 Other therapeutic percutaneous operations on liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J121#J12.1 Percutaneous drainage of liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J13#J13 Diagnostic percutaneous operations on liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J131#J13.1 Percutaneous transvascular biopsy of lesion of liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J132#J13.2 Percutaneous biopsy of lesion of liver NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J14#J14 Other puncture of liver	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J141#J14.1 Biopsy of liver NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J18#J18 Excision of gall bladder	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J181#J18.1 Total cholecystectomy and excision of surrounding tissue	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J182#J18.2 Total cholecystectomy and exploration of common bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J183#J18.3 Total cholecystectomy NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J185#J18.5 Partial cholecystectomy NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J188#J18.8 Other specified excision of gall bladder	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J189#J18.9 Unspecified excision of gall bladder	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J21#J21 Incision of gall bladder	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J24#J24 Therapeutic percutaneous operations on gall bladder	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J241#J24.1 Percutaneous drainage of gall bladder	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J29#J29 Connection of hepatic duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J38#J38 Endoscopic incision of sphincter of Oddi	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J381#J38.1 Endoscopic sphincterotomy of sphincter of Oddi and removal of calculus HFQ	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J382#J38.2 Endoscopic sphincterotomy of sphincter of Oddi and insertion of tubal prosthesis into bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J388#J38.8 Other specified endoscopic incision of sphincter of Oddi	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J389#J38.9 Unspecified endoscopic incision of sphincter of Oddi	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J40#J40 Endoscopic retrograde placement of prosthesis in bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J402#J40.2 Endoscopic retrograde insertion of tubal prosthesis into bile duct NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J403#J40.3 Endoscopic retrograde renewal of tubal prosthesis in bile duct NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J404#J40.4 Endoscopic retrograde removal of tubal prosthesis from bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J406#J40.6 Endoscopic retrograde insertion of expanding metal stent into bile duct NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J41#J41 Other therapeutic endoscopic retrograde operations on bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J411#J41.1 Endoscopic retrograde extraction of calculus from bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J42#J42 Therapeutic endoscopic retrograde operations on pancreatic duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J421#J42.1 Endoscopic retrograde insertion of tubal prosthesis into pancreatic duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J43#J43 Diagnostic endoscopic retrograde examination of bile duct and pancreatic duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J439#J43.9 Unspecified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J44#J44 Diagnostic endoscopic retrograde examination of bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J449#J44.9 Unspecified diagnostic endoscopic retrograde examination of bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J45#J45 Diagnostic endoscopic retrograde examination of pancreatic duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J459#J45.9 Unspecified diagnostic endoscopic retrograde examination of pancreatic duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J47#J47 Therapeutic percutaneous insertion of prosthesis into bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J475#J47.5 Percutaneous insertion of tubal prosthesis into common bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J48#J48 Other therapeutic percutaneous operations on bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J486#J48.6 Percutaneous transhepatic biliary drainage single	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J50#J50 Percutaneous examination of bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J53#J53 Endoscopic ultrasound examination of bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J539#J53.9 Unspecified endoscopic ultrasound examination of bile duct	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J56#J56 Excision of head of pancreas	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J562#J56.2 Pancreaticoduodenectomy and resection of antrum of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J563#J56.3 Pancreaticoduodenectomy NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J57#J57 Other partial excision of pancreas	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J66#J66 Therapeutic percutaneous operations on pancreas	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J67#J67 Diagnostic percutaneous operations on pancreas	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J69#J69 Total excision of spleen	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J692#J69.2 Total splenectomy	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J699#J69.9 Unspecified total excision of spleen	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J74#J74 Endoscopic ultrasound examination of pancreas	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J741#J74.1 Endoscopic ultrasound examination of pancreas and biopsy of lesion of pancreas	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J748#J74.8 Other specified endoscopic ultrasound examination of pancreas	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41200#J749#J74.9 Unspecified endoscopic ultrasound examination of pancreas	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G01#G01 Excision of oesophagus and stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G011#G01.1 Oesophagogastrectomy and anastomosis of oesophagus to stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G03#G03 Partial excision of oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G09#G09 Incision of oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G14#G14 Fibreoptic endoscopic extirpation of lesion of oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G15#G15 Other therapeutic fibreoptic endoscopic operations on oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G151#G15.1 Fibreoptic endoscopic removal of foreign body from oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G152#G15.2 Fibreoptic endoscopic balloon dilation of oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G153#G15.3 Fibreoptic endoscopic dilation of oesophagus NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G16#G16 Diagnostic fibreoptic endoscopic examination of oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G161#G16.1 Diagnostic fibreoptic endoscopic examination of oesophagus and biopsy of lesion of oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G162#G16.2 Diagnostic fibreoptic endoscopic ultrasound examination of oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G169#G16.9 Unspecified diagnostic fibreoptic endoscopic examination of oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G18#G18 Other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G181#G18.1 Endoscopic removal of foreign body from oesophagus using rigid oesophagoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G183#G18.3 Endoscopic dilation of oesophagus using rigid oesophagoscope NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G19#G19 Diagnostic endoscopic examination of oesophagus using rigid oesophagoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G191#G19.1 Diagnostic endoscopic examination of oesophagus and biopsy of lesion of oesophagus using rigid oesophagoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G199#G19.9 Unspecified diagnostic endoscopic examination of oesophagus using rigid oesophagoscope	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G21#G21 Other operations on oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G211#G21.1 Intubation of oesophagus for pH manometry	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G212#G21.2 Intubation of oesophagus for pressure manometry	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G214#G21.4 Intubation of oesophagus NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G215#G21.5 Insertion of stent into oesophagus NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G218#G21.8 Other specified other operations on oesophagus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G23#G23 Repair of diaphragmatic hernia	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G233#G23.3 Repair of oesophageal hiatus using abdominal approach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G234#G23.4 Repair of diaphragmatic hernia using abdominal approach NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G24#G24 Antireflux operations	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G243#G24.3 Antireflux fundoplication using abdominal approach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G25#G25 Revision of antireflux operations	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G251#G25.1 Revision of fundoplication of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G27#G27 Total excision of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G28#G28 Partial excision of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G285#G28.5 Sleeve gastrectomy NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G289#G28.9 Unspecified partial excision of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G29#G29 Open extirpation of lesion of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G292#G29.2 Open excision of lesion of stomach NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G30#G30 Plastic operations on stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G303#G30.3 Partitioning of stomach using band	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G32#G32 Connection of stomach to transposed jejunum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G321#G32.1 Bypass of stomach by anastomosis of stomach to transposed jejunum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G33#G33 Other connection of stomach to jejunum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G331#G33.1 Bypass of stomach by anastomosis of stomach to jejunum NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G34#G34 Artificial opening into stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G342#G34.2 Creation of temporary gastrostomy	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G345#G34.5 Attention to gastrostomy tube	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G35#G35 Operations on ulcer of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G36#G36 Other repair of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G38#G38 Other open operations on stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G387#G38.7 Removal of gastric band	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G40#G40 Incision of pylorus	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G403#G40.3 Pyloroplasty NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G42#G42 Other fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G421#G42.1 Fibreoptic endoscopic submucosal resection of lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G43#G43 Fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G431#G43.1 Fibreoptic endoscopic snare resection of lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G432#G43.2 Fibreoptic endoscopic laser destruction of lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G433#G43.3 Fibreoptic endoscopic cauterisation of lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G434#G43.4 Fibreoptic endoscopic sclerotherapy to lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G435#G43.5 Fibreoptic endoscopic destruction of lesion of upper gastrointestinal tract NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G436#G43.6 Fibreoptic endoscopic injection therapy to lesion of upper gastrointestinal tract NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G437#G43.7 Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G438#G43.8 Other specified fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G439#G43.9 Unspecified fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G44#G44 Other therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G441#G44.1 Fibreoptic endoscopic insertion of prosthesis into upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G442#G44.2 Fibreoptic endoscopic removal of foreign body from upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G443#G44.3 Fibreoptic endoscopic dilation of upper gastrointestinal tract NEC	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G445#G44.5 Fibreoptic endoscopic percutaneous insertion of gastrostomy	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G446#G44.6 Fibreoptic endoscopic pressure controlled balloon dilation of lower oesophageal sphincter	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G447#G44.7 Fibreoptic endoscopic removal of gastrostomy tube	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G448#G44.8 Other specified other therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G45#G45 Diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G451#G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G452#G45.2 Fibreoptic endoscopic ultrasound examination of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G453#G45.3 Fibreoptic endoscopic insertion of Bravo pH capsule into upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G454#G45.4 Fibreoptic endoscopic examination of upper gastrointestinal tract and staining of gastric mucosa	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G458#G45.8 Other specified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G459#G45.9 Unspecified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G47#G47 Intubation of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G478#G47.8 Other specified intubation of stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G48#G48 Other operations on stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G488#G48.8 Other specified other operations on stomach	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G52#G52 Operations on ulcer of duodenum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G521#G52.1 Closure of perforated ulcer of duodenum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G53#G53 Other open operations on duodenum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G54#G54 Therapeutic endoscopic operations on duodenum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G55#G55 Diagnostic endoscopic examination of duodenum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G58#G58 Excision of jejunum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G584#G58.4 Partial jejunectomy and anastomosis of jejunum to ileum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G60#G60 Artificial opening into jejunum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G601#G60.1 Creation of jejunostomy	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G61#G61 Bypass of jejunum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G611#G61.1 Bypass of jejunum by anastomosis of jejunum to jejunum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G63#G63 Other open operations on jejunum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
41272#G64#G64 Therapeutic endoscopic operations on jejunum	EFO_0002571	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
